nyaaa,"'nyaaa',"
tks,"'tks',"
ena,"'ena',"
siih,"'siih',"
sja,"'sja',"
shg,"'shg',"
hehe,"'hehe',"
mb,"'mb',"
uu,"'uu',"
rt,"'rt',"
vt,"'vt',"
bmi,"'bmi',"
rf,"'rf',"
popdiinoimni,"'popdiinoimni',"
r,"'r',"
gtu,"'gtu',"
hy,"'hy',"
num,"'num',"
yaw,"'yaw',"
hadee,"'hadee',"
hehh,"'hehh',"
ngan,"'ngan',"
bsg,"'bsg',"
minn,"'minn',"
bae,"'bae',"
c,"'c',"
helooo,"'helooo',"
wah,"'wah',"
beuhh,"'beuhh',"
yth,"'yth',"
iy,"'iy',"
buar,"'buar',"
nihhhh,"'nihhhh',"
yaa,"'yaa',"
hadeh,"'hadeh',"
iwk,"'iwk',"
e,"'e',"
sy,"'sy',"
mi,"'mi',"
elah,"'elah',"
ehhhhh,"'ehhhhh',"
bos,"'bos',"
ajja,"'ajja',"
bun,"'bun',"
bund,"'bund',"
pak,"'pak',"
smw,"'smw',"
bapak,"'bapak',"
trusss,"'trusss',"
dii,"'dii',"
hg,"'hg',"
br,"'br',"
neh,"'neh',"
cz,"'cz',"
pakk,"'pakk',"
per,"'per',"
nihhh,"'nihhh',"
ssah,"'ssah',"
enk,"'enk',"
bi,"'bi',"
y,"'y',"
cnp,"'cnp',"
kk,"'kk',"
h,"'h',"
tross,"'tross',"
ajaa,"'ajaa',"
tok,"'tok',"
dunk,"'dunk',"
iki,"'iki',"
hadeeeeh,"'hadeeeeh',"
ala,"'ala',"
ituu,"'ituu',"
w,"'w',"
nu,"'nu',"
inj,"'inj',"
mu,"'mu',"
ini,"'ini',"
terooooossssssssssssss,"'terooooossssssssssssss',"
niku,"'niku',"
a,"'a',"
c,"'c',"
e,"'e',"
teruz,"'teruz',"
bl,"'bl',"
ng,"'ng',"
wahh,"'wahh',"
lai,"'lai',"
nda,"'nda',"
az,"'az',"
huuuh,"'huuuh',"
yaach,"'yaach',"
ajh,"'ajh',"
stb,"'stb',"
gb,"'gb',"
permisi,"'permisi',"
oi,"'oi',"
nya,"'nya',"
mmg,"'mmg',"
sihg,"'sihg',"
maw,"'maw',"
mya,"'mya',"
cuk,"'cuk',"
mang,"'mang',"
aduh,"'aduh',"
hr,"'hr',"
hmmmm,"'hmmmm',"
ah,"'ah',"
lhooo,"'lhooo',"
q,"'q',"
ehh,"'ehh',"
ntah,"'ntah',"
jk,"'jk',"
dong,"'dong',"
dkk,"'dkk',"
ta,"'ta',"
lhaa,"'lhaa',"
ca,"'ca',"
cc,"'cc',"
ba,"'ba',"
woiii,"'woiii',"
yaad,"'yaad',"
unt,"'unt',"
yaaa,"'yaaa',"
huhuhuhuuuuuuu,"'huhuhuhuuuuuuu',"
yaaaaaaaaaaaaaaaa,"'yaaaaaaaaaaaaaaaa',"
buk,"'buk',"
t,"'t',"
sieh,"'sieh',"
an,"'an',"
ykpwt,"'ykpwt',"
yaaaa,"'yaaaa',"
noh,"'noh',"
dll,"'dll',"
an,"'an',"
haloooo,"'haloooo',"
tuu,"'tuu',"
hai,"'hai',"
krt,"'krt',"
bla,"'bla',"
duhh,"'duhh',"
NAME,"'NAME',"
pun,"'pun',"
ups,"'ups',"
yahh,"'yahh',"
dehh,"'dehh',"
nb,"'nb',"
ge,"'ge',"
siiiih,"'siiiih',"
mba,"'mba',"
nich,"'nich',"
trx,"'trx',"
dede,"'dede',"
edward,"'edward',"
old,"'old',"
nx,"'nx',"
kloo,"'kloo',"
katax,"'katax',"
hub,"'hub',"
aaaaahhhhhh,"'aaaaahhhhhh',"
dng,"'dng',"
huuffff,"'huuffff',"
ee,"'ee',"
battttt,"'battttt',"
yia,"'yia',"
donk,"'donk',"
iuy,"'iuy',"
kah,"'kah',"
ya,"'ya',"
las,"'las',"
uuy,"'uuy',"
kook,"'kook',"
wg,"'wg',"
donggg,"'donggg',"
bu,"'bu',"
hiks,"'hiks',"
hahaha,"'hahaha',"
qt,"'qt',"
nyasy,"'nyasy',"
hi,"'hi',"
tek,"'tek',"
i,"'i',"
kuk,"'kuk',"
blass,"'blass',"
ny,"'ny',"
ex,"'ex',"
cfh,"'cfh',"
abc,"'abc',"
di,"'di',"
b,"'b',"
ahja,"'ahja',"
keknya,"'keknya',"
gc,"'gc',"
doong,"'doong',"
sihhh,"'sihhh',"
sii,"'sii',"
tauu,"'tauu',"
ak,"'ak',"
ahh,"'ahh',"
laaaaaaa,"'laaaaaaa',"
syg,"'syg',"
huffff,"'huffff',"
wkek,"'wkek',"
huh,"'huh',"
hhhhhh,"'hhhhhh',"
f,"'f',"
ssss,"'ssss',"
f,"'f',"
wt,"'wt',"
r,"'r',"
sbb,"'sbb',"
halooo,"'halooo',"
py,"'py',"
xx,"'xx',"
kah,"'kah',"
daah,"'daah',"
eeeeeeeeeeeeeee,"'eeeeeeeeeeeeeee',"
eeeeeeeeeeeeeeueeeeeeeee,"'eeeeeeeeeeeeeeueeeeeeeee',"
siii,"'siii',"
lp,"'lp',"
laa,"'laa',"
oooyehh,"'oooyehh',"
cr,"'cr',"
hehehe,"'hehehe',"
oh,"'oh',"
gituuuu,"'gituuuu',"
af,"'af',"
pol,"'pol',"
sihh,"'sihh',"
aau,"'aau',"
trussss,"'trussss',"
haloo,"'haloo',"
sii,"'sii',"
wkwkek,"'wkwkek',"
looh,"'looh',"
o,"'o',"
yra,"'yra',"
te,"'te',"
p,"'p',"
pa,"'pa',"
ybs,"'ybs',"
re,"'re',"
coz,"'coz',"
tis,"'tis',"
sih,"'sih',"
g,"'g',"
s,"'s',"
naahh,"'naahh',"
th,"'th',"
ps,"'ps',"
lanm,"'lanm',"
yeah,"'yeah',"
kov,"'kov',"
be,"'be',"
kl,"'kl',"
AM,"'AM',"
djaja,"'djaja',"
kwoonggg,"'kwoonggg',"
